serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,18944,5544706,122741,0
C,18,18,0,binomial,19008,5563083,123155,0
C,18,18,0,binomial,19072,5581008,123581,0
C,18,18,0,binomial,19136,5597210,123981,0
C,18,18,0,binomial,19200,5615666,124381,0
C,18,18,0,binomial,19264,5634112,124799,0
C,18,18,0,binomial,19328,5652188,125221,0
C,18,18,0,binomial,19392,5669841,125603,0
C,18,18,0,binomial,19456,5686719,125954,0
C,18,18,0,binomial,19520,5702951,126341,0
C,18,18,0,binomial,19584,5722878,126751,0
C,18,18,0,binomial,19648,5743028,127189,0
C,18,18,0,binomial,19712,5760567,127629,0
C,18,18,0,binomial,19776,5779224,128083,0
C,18,18,0,binomial,19840,5796977,128486,0
C,18,18,0,binomial,19904,5814219,128889,0
C,18,18,0,binomial,19968,5830733,129274,0
C,18,18,0,binomial,20032,5848421,129683,0
C,18,18,0,binomial,20096,5866473,130074,0
C,18,18,0,binomial,20160,5886932,130470,0
C,18,18,0,binomial,20224,5902774,130826,0
C,18,18,0,binomial,20288,5921211,131241,0
C,18,18,0,binomial,20352,5940180,131660,0
C,18,18,0,binomial,20416,5955805,132066,0
C,18,18,0,binomial,20480,5973351,132511,0
C,18,18,0,binomial,20544,5990084,132900,0
C,18,18,0,binomial,20608,6007495,133306,0
C,18,18,0,binomial,20672,6025924,133729,0
C,18,18,0,binomial,20736,6044135,134170,0
C,18,18,0,binomial,20800,6059308,134513,0
C,18,18,0,binomial,20864,6077694,134918,0
C,18,18,0,binomial,20928,6094414,135266,0
C,18,18,0,binomial,20992,6112525,135693,0
C,18,18,0,binomial,21056,6130081,136093,0
C,18,18,0,binomial,21120,6147933,136469,0
C,18,18,0,binomial,21184,6164471,136853,0
C,18,18,0,binomial,21248,6181861,137248,0
C,18,18,0,binomial,21312,6200016,137674,0
C,18,18,0,binomial,21376,6217190,138077,0
C,18,18,0,binomial,21440,6235712,138526,0
C,18,18,0,binomial,21504,6254075,138933,0
C,18,18,0,binomial,21568,6269525,139298,0
C,18,18,0,binomial,21632,6285637,139670,0
C,18,18,0,binomial,21696,6303812,140069,0
C,18,18,0,binomial,21760,6323221,140488,0
C,18,18,0,binomial,21824,6339581,140897,0
C,18,18,0,binomial,21888,6358300,141376,0
C,18,18,0,binomial,21952,6372205,141783,0
C,18,18,0,binomial,22016,6387403,142130,0
C,18,18,0,binomial,22080,6404342,142464,0
C,18,18,0,binomial,22144,6422763,142890,0
C,18,18,0,binomial,22208,6442115,143315,0
C,18,18,0,binomial,22272,6460566,143720,0
C,18,18,0,binomial,22336,6478082,144107,0
C,18,18,0,binomial,22400,6494013,144485,0
C,18,18,0,binomial,22464,6512302,144914,0
C,18,18,0,binomial,22528,6531858,145320,0
C,18,18,0,binomial,22592,6548459,145703,0
C,18,18,0,binomial,22656,6566005,146117,0
C,18,18,0,binomial,22720,6584849,146538,0
C,18,18,0,binomial,22784,6602405,146918,0
C,18,18,0,binomial,22848,6622540,147336,0
C,18,18,0,binomial,22912,6641295,147773,0
C,18,18,0,binomial,22976,6660872,148207,0
C,18,18,0,binomial,23040,6680134,148661,0
C,18,18,0,binomial,23104,6698382,149049,0
C,18,18,0,binomial,23168,6716999,149482,0
C,18,18,0,binomial,23232,6735915,149931,0
C,18,18,0,binomial,23296,6752273,150309,0
C,18,18,0,binomial,23360,6771167,150748,0
C,18,18,0,binomial,23424,6791406,151155,0
