serie,i,j,rep,cola_ref,peso_ref,cola,peso,diferencia,ok
D,17,22,8,binomial,2468.57761062,fibonacci,2468.57761062,0,1
D,17,22,9,fibonacci,2463.61847277,binomial,2463.61847277,0,1
D,18,22,0,binomial,9846.59645845,fibonacci,9846.59645845,0,1
D,18,22,1,fibonacci,9830.87030026,binomial,9830.87030026,0,1
D,18,22,2,binomial,9849.89164833,fibonacci,9849.89164833,0,1
D,18,22,3,fibonacci,9847.34734755,binomial,9847.34734755,0,1
D,18,22,4,binomial,9847.18388601,fibonacci,9847.18388601,0,1
D,18,22,5,fibonacci,9837.42155892,binomial,9837.42155892,0,1
D,18,22,6,binomial,9838.75006611,fibonacci,9838.75006611,0,1
D,18,22,7,fibonacci,9844.81966505,binomial,9844.81966505,0,1
D,18,22,8,binomial,9862.50430282,fibonacci,9862.50430282,0,1
D,18,22,9,fibonacci,9846.05342128,binomial,9846.05342128,0,1
